2/20/2020 	 10:33:05 AM 
 This file comes from Vt only measurement 	 1.000000E+0 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 1000 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.110000	0.272045
	0.111000	0.262312
	0.112000	0.223380
	0.113000	0.235059
	0.114000	0.230842
	0.115000	0.201319
	0.116000	0.228895
	0.117000	0.263934
	0.118000	0.289240
	0.119000	0.305137
	0.120000	0.345691
	0.121000	0.352179
	0.122000	0.352504
	0.123000	0.371645
	0.124000	0.358992
	0.125000	0.337580
	0.126000	0.311301
	0.127000	0.292159
	0.128000	0.274316
	0.129000	0.244144
	0.130000	0.240250
	0.131000	0.237655
	0.132000	0.229544
	0.133000	0.244792
	0.134000	0.279831
	0.135000	0.297675
	0.136000	0.307732
	0.137000	0.349908
	0.138000	0.345042
	0.139000	0.336607
	0.140000	0.373592
	0.141000	0.349259
	0.142000	0.309030
	0.143000	0.301244
	0.144000	0.282102
	0.145000	0.244144
	0.146000	0.241224
	0.147000	0.225327
	0.148000	0.214296
	0.149000	0.232464
	0.150000	0.258743
	0.151000	0.280480
	0.152000	0.296377
	0.153000	0.314545
	0.154000	0.347637
	0.155000	0.359641
	0.156000	0.337580
	0.157000	0.348935
	0.158000	0.347637
	0.159000	0.319736
	0.160000	0.301892
	0.161000	0.284373
	0.162000	0.240575
	0.163000	0.242197
	0.164000	0.234411
	0.165000	0.198399
	0.166000	0.222082
	0.167000	0.261338
	0.168000	0.284049
	0.169000	0.306110
	0.170000	0.334011
	0.171000	0.342446
	0.172000	0.339851
	0.173000	0.371970
	0.174000	0.342446
	0.175000	0.325251
	0.176000	0.300919
	0.177000	0.281453
	0.178000	0.258743
	0.179000	0.227598
	0.180000	0.231166
	0.181000	0.236682
	0.182000	0.230842
	0.183000	0.239602
	0.184000	0.286320
	0.185000	0.310976
	0.186000	0.321358
	0.187000	0.351206
	0.188000	0.346988
	0.189000	0.338878
	0.190000	0.375863
	0.191000	0.347962
	0.192000	0.308057
	0.193000	0.289240
	0.194000	0.258094
	0.195000	0.222407
	0.196000	0.229220
	0.197000	0.237331
	0.198000	0.208456
	0.199000	0.214945
	0.200000	0.241548
	0.201000	0.278209
	0.202000	0.307408
	0.203000	0.332713
	0.204000	0.354126
	0.205000	0.368401
	0.206000	0.350557
	0.207000	0.380729
	0.208000	0.366779
	0.209000	0.323629
	0.210000	0.302866
	0.211000	0.293133
	0.212000	0.247712
	0.213000	0.240899
	0.214000	0.234086
	0.215000	0.200345
	0.216000	0.217865
	0.217000	0.258419
	0.218000	0.275613
	0.219000	0.296053
	0.220000	0.331740
	0.221000	0.335309
	0.222000	0.336931
	0.223000	0.357046
	0.224000	0.352179
	0.225000	0.319736
	0.226000	0.292159
	0.227000	0.275613
	0.228000	0.267178
	0.229000	0.243495
	0.230000	0.238628
	0.231000	0.241548
	0.232000	0.229544
	0.233000	0.245441
	0.234000	0.283075
	0.235000	0.307083
	0.236000	0.314870
	0.237000	0.351206
	0.238000	0.345366
	0.239000	0.334660
	0.240000	0.356072
	0.241000	0.333038
	0.242000	0.310976
	0.243000	0.282751
	0.244000	0.273018
	0.245000	0.240575
	0.246000	0.246415
	0.247000	0.237655
	0.248000	0.211700
	0.249000	0.234086
	0.250000	0.254201
	0.251000	0.276262
	0.252000	0.301568
	0.253000	0.331416
	0.254000	0.347637
	0.255000	0.362237
	0.256000	0.341149
	0.257000	0.365157
	0.258000	0.358019
	0.259000	0.313896
	0.260000	0.296053
	0.261000	0.286644
	0.262000	0.237979
	0.263000	0.240899
	0.264000	0.244144
	0.265000	0.204239
	0.266000	0.228895
	0.267000	0.261663
	0.268000	0.280480
	0.269000	0.317790
	0.270000	0.343744
	0.271000	0.350557
	0.272000	0.360939
	0.273000	0.384622
	0.274000	0.351530
	0.275000	0.330767
	0.276000	0.295728
	0.277000	0.271071
	0.278000	0.250632
	0.279000	0.225002
	0.280000	0.221758
	0.281000	0.224353
	0.282000	0.216567
	0.283000	0.235384
	0.284000	0.265232
	0.285000	0.277884
	0.286000	0.304488
	0.287000	0.350882
	0.288000	0.346988
	0.289000	0.338229
	0.290000	0.376187
	0.291000	0.348286
	0.292000	0.323954
	0.293000	0.317141
	0.294000	0.288591
	0.295000	0.250308
	0.296000	0.242521
	0.297000	0.228571
	0.298000	0.209429
	0.299000	0.226300
	0.300000	0.242521
	0.301000	0.262961
	0.302000	0.285022
	0.303000	0.311625
	0.304000	0.342771
	0.305000	0.352504
	0.306000	0.334984
	0.307000	0.358992
	0.308000	0.351855
	0.309000	0.319736
	0.310000	0.300270
	0.311000	0.277560
	0.312000	0.246090
	0.313000	0.242846
	0.314000	0.249659
	0.315000	0.208781
	0.316000	0.236357
	0.317000	0.276262
	0.318000	0.293457
	0.319000	0.318114
	0.320000	0.351855
	0.321000	0.367103
	0.322000	0.358992
	0.323000	0.374565
	0.324000	0.337904
	0.325000	0.320061
	0.326000	0.284698
	0.327000	0.264907
	0.328000	0.262312
	0.329000	0.230517
	0.330000	0.229544
	0.331000	0.225002
	0.332000	0.223704
	0.333000	0.237331
	0.334000	0.270098
	0.335000	0.290537
	0.336000	0.305461
	0.337000	0.348611
	0.338000	0.352179
	0.339000	0.350557
	0.340000	0.378134
	0.341000	0.364508
	0.342000	0.322656
	0.343000	0.297999
	0.344000	0.284373
	0.345000	0.239602
	0.346000	0.231491
	0.347000	0.231491
	0.348000	0.207807
	0.349000	0.225327
	0.350000	0.264258
	0.351000	0.290537
	0.352000	0.307083
	0.353000	0.323629
	0.354000	0.346340
	0.355000	0.346015
	0.356000	0.333362
	0.357000	0.352828
	0.358000	0.340824
	0.359000	0.305786
	0.360000	0.292159
	0.361000	0.275289
	0.362000	0.242197
	0.363000	0.253552
	0.364000	0.253228
	0.365000	0.220136
	0.366000	0.231815
	0.367000	0.266205
	0.368000	0.286320
	0.369000	0.305461
	0.370000	0.338553
	0.371000	0.341149
	0.372000	0.363210
	0.373000	0.377485
	0.374000	0.346340
	0.375000	0.342446
	0.376000	0.314221
	0.377000	0.294755
	0.378000	0.254850
	0.379000	0.238628
	0.380000	0.234735
	0.381000	0.225651
	0.382000	0.218838
	0.383000	0.218513
	0.384000	0.260365
	0.385000	0.288266
	0.386000	0.308057
	0.387000	0.349259
	0.388000	0.342122
	0.389000	0.338553
	0.390000	0.358668
	0.391000	0.337580
	0.392000	0.308381
	0.393000	0.296701
	0.394000	0.280804
	0.395000	0.242846
	0.396000	0.241548
	0.397000	0.235059
	0.398000	0.202616
	0.399000	0.226300
	0.400000	0.264583
	0.401000	0.302217
	0.402000	0.305461
	0.403000	0.345691
	0.404000	0.358343
	0.405000	0.353477
	0.406000	0.344393
	0.407000	0.362237
	0.408000	0.354126
	0.409000	0.317790
	0.410000	0.281129
	0.411000	0.260365
	0.412000	0.228571
	0.413000	0.230517
	0.414000	0.232464
	0.415000	0.207158
	0.416000	0.218838
	0.417000	0.261663
	0.418000	0.284049
	0.419000	0.298973
	0.420000	0.333038
	0.421000	0.348286
	0.422000	0.352828
	0.423000	0.380080
	0.424000	0.353153
	0.425000	0.334984
	0.426000	0.302541
	0.427000	0.291186
	0.428000	0.259067
	0.429000	0.242197
	0.430000	0.238304
	0.431000	0.239926
	0.432000	0.233113
	0.433000	0.244468
	0.434000	0.285022
	0.435000	0.304163
	0.436000	0.314870
	0.437000	0.350882
	0.438000	0.344717
	0.439000	0.342122
	0.440000	0.375863
	0.441000	0.355099
	0.442000	0.320385
	0.443000	0.296701
	0.444000	0.279182
	0.445000	0.231491
	0.446000	0.230517
	0.447000	0.228571
	0.448000	0.200670
	0.449000	0.226949
	0.450000	0.243819
	0.451000	0.272694
	0.452000	0.307408
	0.453000	0.322980
	0.454000	0.347962
	0.455000	0.351206
	0.456000	0.337255
	0.457000	0.349259
	0.458000	0.340500
	0.459000	0.305461
	0.460000	0.283724
	0.461000	0.292159
	0.462000	0.248686
	0.463000	0.257121
	0.464000	0.249983
	0.465000	0.221109
	0.466000	0.247063
	0.467000	0.290862
	0.468000	0.295079
	0.469000	0.308057
	0.470000	0.342122
	0.471000	0.346664
	0.472000	0.347313
	0.473000	0.370672
	0.474000	0.352504
	0.475000	0.320709
	0.476000	0.286644
	0.477000	0.261987
	0.478000	0.247388
	0.479000	0.228571
	0.480000	0.227922
	0.481000	0.215594
	0.482000	0.216567
	0.483000	0.238953
	0.484000	0.272694
	0.485000	0.299946
	0.486000	0.315843
	0.487000	0.346988
	0.488000	0.348286
	0.489000	0.338878
	0.490000	0.367428
	0.491000	0.346664
	0.492000	0.319412
	0.493000	0.304812
	0.494000	0.289564
	0.495000	0.253552
	0.496000	0.240250
	0.497000	0.235059
	0.498000	0.217216
	0.499000	0.245441
	0.500000	0.270423
	0.501000	0.289888
	0.502000	0.304488
	0.503000	0.327198
	0.504000	0.345042
	0.505000	0.344717
	0.506000	0.333362
	0.507000	0.328820
	0.508000	0.324278
	0.509000	0.300595
	0.510000	0.282751
	0.511000	0.264907
	0.512000	0.233437
	0.513000	0.236033
	0.514000	0.243495
	0.515000	0.218189
	0.516000	0.243495
	0.517000	0.286320
	0.518000	0.307408
	0.519000	0.309354
	0.520000	0.355748
	0.521000	0.362237
	0.522000	0.376187
	0.523000	0.394680
	0.524000	0.365157
	0.525000	0.338878
	0.526000	0.298324
	0.527000	0.277884
	0.528000	0.249334
	0.529000	0.229544
	0.530000	0.217865
	0.531000	0.199372
	0.532000	0.200345
	0.533000	0.222407
	0.534000	0.257770
	0.535000	0.279507
	0.536000	0.298648
	0.537000	0.343095
	0.538000	0.334984
	0.539000	0.334660
	0.540000	0.371970
	0.541000	0.349908
	0.542000	0.322007
	0.543000	0.292808
	0.544000	0.285346
	0.545000	0.250308
	0.546000	0.270747
	0.547000	0.266529
	0.548000	0.239926
	0.549000	0.249983
	0.550000	0.262636
	0.551000	0.285022
	0.552000	0.299621
	0.553000	0.315843
	0.554000	0.338229
	0.555000	0.332389
	0.556000	0.326549
	0.557000	0.339851
	0.558000	0.348611
	0.559000	0.312599
	0.560000	0.286320
	0.561000	0.279182
	0.562000	0.243495
	0.563000	0.247063
	0.564000	0.248037
	0.565000	0.221109
	0.566000	0.239277
	0.567000	0.271396
	0.568000	0.289888
	0.569000	0.306434
	0.570000	0.345691
	0.571000	0.341473
	0.572000	0.350882
	0.573000	0.375214
	0.574000	0.347962
	0.575000	0.325900
	0.576000	0.303839
	0.577000	0.276262
	0.578000	0.252903
	0.579000	0.225002
	0.580000	0.231166
	0.581000	0.213971
	0.582000	0.217865
	0.583000	0.233113
	0.584000	0.276587
	0.585000	0.292808
	0.586000	0.308057
	0.587000	0.337255
	0.588000	0.334984
	0.589000	0.340175
	0.590000	0.370996
	0.591000	0.349584
	0.592000	0.316816
	0.593000	0.286644
	0.594000	0.283400
	0.595000	0.260690
	0.596000	0.284049
	0.597000	0.257770
	0.598000	0.217865
	0.599000	0.236682
	0.600000	0.264258
	0.601000	0.277884
	0.602000	0.287617
	0.603000	0.311950
	0.604000	0.327522
	0.605000	0.329145
	0.606000	0.325251
	0.607000	0.327522
	0.608000	0.328171
	0.609000	0.308057
	0.610000	0.290213
	0.611000	0.273991
	0.612000	0.239602
	0.613000	0.231491
	0.614000	0.236033
	0.615000	0.213323
	0.616000	0.244468
	0.617000	0.271071
	0.618000	0.299297
	0.619000	0.317141
	0.620000	0.339202
	0.621000	0.362561
	0.622000	0.376512
	0.623000	0.395978
	0.624000	0.381703
	0.625000	0.353153
	0.626000	0.315519
	0.627000	0.287617
	0.628000	0.250632
	0.629000	0.232464
	0.630000	0.229869
	0.631000	0.216891
	0.632000	0.217865
	0.633000	0.228571
	0.634000	0.252254
	0.635000	0.279182
	0.636000	0.305461
	0.637000	0.345691
	0.638000	0.354775
	0.639000	0.349259
	0.640000	0.368401
	0.641000	0.351855
	0.642000	0.325576
	0.643000	0.303515
	0.644000	0.290537
	0.645000	0.249010
	0.646000	0.236682
	0.647000	0.236357
	0.648000	0.202941
	0.649000	0.213647
	0.650000	0.242521
	0.651000	0.289564
	0.652000	0.303515
	0.653000	0.318114
	0.654000	0.343420
	0.655000	0.346988
	0.656000	0.345366
	0.657000	0.345691
	0.658000	0.329145
	0.659000	0.295079
	0.660000	0.266854
	0.661000	0.254201
	0.662000	0.229544
	0.663000	0.239277
	0.664000	0.243819
	0.665000	0.210727
	0.666000	0.234086
	0.667000	0.280804
	0.668000	0.299621
	0.669000	0.311625
	0.670000	0.354775
	0.671000	0.366130
	0.672000	0.360615
	0.673000	0.371970
	0.674000	0.348286
	0.675000	0.320061
	0.676000	0.293133
	0.677000	0.272045
	0.678000	0.255174
	0.679000	0.254850
	0.680000	0.236682
	0.681000	0.225327
	0.682000	0.232788
	0.683000	0.256796
	0.684000	0.302541
	0.685000	0.336282
	0.686000	0.361263
	0.687000	0.385920
	0.688000	0.367428
	0.689000	0.340500
	0.690000	0.365805
	0.691000	0.319087
	0.692000	0.288591
	0.693000	0.258419
	0.694000	0.242197
	0.695000	0.201967
	0.696000	0.204239
	0.697000	0.213323
	0.698000	0.180231
	0.699000	0.208456
	0.700000	0.251281
	0.701000	0.290862
	0.702000	0.315194
	0.703000	0.342446
	0.704000	0.365157
	0.705000	0.379107
	0.706000	0.378783
	0.707000	0.388516
	0.708000	0.366779
	0.709000	0.325576
	0.710000	0.326225
	0.711000	0.292159
	0.712000	0.249334
	0.713000	0.243819
	0.714000	0.230517
	0.715000	0.183150
	0.716000	0.211376
	0.717000	0.242197
	0.718000	0.266854
	0.719000	0.301244
	0.720000	0.339851
	0.721000	0.333362
	0.722000	0.315843
	0.723000	0.352504
	0.724000	0.347313
	0.725000	0.319736
	0.726000	0.289564
	0.727000	0.268476
	0.728000	0.246415
	0.729000	0.235384
	0.730000	0.226949
	0.731000	0.225002
	0.732000	0.226949
	0.733000	0.245117
	0.734000	0.267178
	0.735000	0.294755
	0.736000	0.333362
	0.737000	0.366130
	0.738000	0.361588
	0.739000	0.347962
	0.740000	0.373916
	0.741000	0.359966
	0.742000	0.333687
	0.743000	0.305137
	0.744000	0.289240
	0.745000	0.261338
	0.746000	0.271071
	0.747000	0.263934
	0.748000	0.217540
	0.749000	0.218838
	0.750000	0.277884
	0.751000	0.298973
	0.752000	0.302866
	0.753000	0.329145
	0.754000	0.337580
	0.755000	0.329469
	0.756000	0.323629
	0.757000	0.333038
	0.758000	0.313896
	0.759000	0.281778
	0.760000	0.268476
	0.761000	0.260365
	0.762000	0.235059
	0.763000	0.233437
	0.764000	0.239277
	0.765000	0.195154
	0.766000	0.220136
	0.767000	0.261014
	0.768000	0.294106
	0.769000	0.313896
	0.770000	0.348935
	0.771000	0.361263
	0.772000	0.363210
	0.773000	0.373916
	0.774000	0.358019
	0.775000	0.333362
	0.776000	0.302217
	0.777000	0.293457
	0.778000	0.262312
	0.779000	0.241224
	0.780000	0.238953
	0.781000	0.226624
	0.782000	0.235059
	0.783000	0.256148
	0.784000	0.287942
	0.785000	0.286644
	0.786000	0.291186
	0.787000	0.324927
	0.788000	0.326225
	0.789000	0.320385
	0.790000	0.365481
	0.791000	0.349584
	0.792000	0.343744
	0.793000	0.316167
	0.794000	0.314870
	0.795000	0.285995
	0.796000	0.281129
	0.797000	0.267827
	0.798000	0.221758
	0.799000	0.233762
	0.800000	0.240575
	0.801000	0.269449
	0.802000	0.292484
	0.803000	0.305461
	0.804000	0.313248
	0.805000	0.320709
	0.806000	0.333038
	0.807000	0.332065
	0.808000	0.320709
	0.809000	0.285995
	0.810000	0.266205
	0.811000	0.251281
	0.812000	0.243819
	0.813000	0.258419
	0.814000	0.281778
	0.815000	0.276262
	0.816000	0.295728
	0.817000	0.300595
	0.818000	0.312274
	0.819000	0.292808
	0.820000	0.313896
	0.821000	0.290213
	0.822000	0.298648
	0.823000	0.308705
	0.824000	0.290213
	0.825000	0.285022
	0.826000	0.287293
	0.827000	0.286644
	0.828000	0.266205
	0.829000	0.256796
	0.830000	0.257121
	0.831000	0.239277
	0.832000	0.260690
	0.833000	0.283075
	0.834000	0.294430
	0.835000	0.301568
	0.836000	0.310328
	0.837000	0.335309
	0.838000	0.317141
	0.839000	0.318114
	0.840000	0.348286
	0.841000	0.317141
	0.842000	0.292808
	0.843000	0.265880
	0.844000	0.253552
	0.845000	0.238953
	0.846000	0.255499
	0.847000	0.249659
	0.848000	0.218189
	0.849000	0.241224
	0.850000	0.284698
	0.851000	0.310003
	0.852000	0.331740
	0.853000	0.353801
	0.854000	0.380080
	0.855000	0.396302
	0.856000	0.385271
	0.857000	0.379432
	0.858000	0.346340
	0.859000	0.298324
	0.860000	0.261987
	0.861000	0.245117
	0.862000	0.229869
	0.863000	0.241873
	0.864000	0.235708
	0.865000	0.236682
	0.866000	0.294755
	0.867000	0.312599
	0.868000	0.337904
	0.869000	0.351530
	0.870000	0.358019
	0.871000	0.334984
	0.872000	0.308705
	0.873000	0.318438
	0.874000	0.288591
	0.875000	0.273342
	0.876000	0.249659
	0.877000	0.229544
	0.878000	0.227273
	0.879000	0.229544
	0.880000	0.253877
	0.881000	0.252579
	0.882000	0.259392
	0.883000	0.273667
	0.884000	0.289888
	0.885000	0.279507
	0.886000	0.308705
	0.887000	0.371321
	0.888000	0.358019
	0.889000	0.345691
	0.890000	0.365805
	0.891000	0.352504
	0.892000	0.307083
	0.893000	0.267827
	0.894000	0.264258
	0.895000	0.233113
	0.896000	0.239926
	0.897000	0.234086
	0.898000	0.207483
	0.899000	0.224353
	0.900000	0.240899
	0.901000	0.263934
	0.902000	0.302866
	0.903000	0.323305
	0.904000	0.334011
	0.905000	0.338553
	0.906000	0.336607
	0.907000	0.333038
	0.908000	0.321683
	0.909000	0.283075
	0.910000	0.272694
	0.911000	0.272369
	0.912000	0.234411
	0.913000	0.248037
	0.914000	0.259392
	0.915000	0.225002
	0.916000	0.247712
	0.917000	0.302866
	0.918000	0.306759
	0.919000	0.323954
	0.920000	0.347962
	0.921000	0.351855
	0.922000	0.359966
	0.923000	0.390462
	0.924000	0.362237
	0.925000	0.338229
	0.926000	0.321034
	0.927000	0.277560
	0.928000	0.247063
	0.929000	0.254850
	0.930000	0.271396
	0.931000	0.246415
	0.932000	0.250632
	0.933000	0.257770
	0.934000	0.278209
	0.935000	0.289240
	0.936000	0.318763
	0.937000	0.327522
	0.938000	0.320709
	0.939000	0.296377
	0.940000	0.310328
	0.941000	0.310652
	0.942000	0.307083
	0.943000	0.311950
	0.944000	0.310003
	0.945000	0.291835
	0.946000	0.268152
	0.947000	0.266529
	0.948000	0.234735
	0.949000	0.290537
	0.950000	0.285671
	0.951000	0.297675
	0.952000	0.300270
	0.953000	0.305786
	0.954000	0.302541
	0.955000	0.301892
	0.956000	0.326874
	0.957000	0.349259
	0.958000	0.319736
	0.959000	0.284698
	0.960000	0.281453
	0.961000	0.297350
	0.962000	0.262961
	0.963000	0.261663
	0.964000	0.264583
	0.965000	0.228571
	0.966000	0.219487
	0.967000	0.218513
	0.968000	0.252254
	0.969000	0.274640
	0.970000	0.302866
	0.971000	0.313896
	0.972000	0.349259
	0.973000	0.378458
	0.974000	0.365157
	0.975000	0.339526
	0.976000	0.305461
	0.977000	0.299946
	0.978000	0.263609
	0.979000	0.258094
	0.980000	0.260690
	0.981000	0.256148
	0.982000	0.272369
	0.983000	0.283075
	0.984000	0.304163
	0.985000	0.306434
	0.986000	0.310328
	0.987000	0.330767
	0.988000	0.331416
	0.989000	0.307732
	0.990000	0.328820
	0.991000	0.307408
	0.992000	0.261987
	0.993000	0.276262
	0.994000	0.275289
	0.995000	0.248686
	0.996000	0.239926
	0.997000	0.230193
	0.998000	0.214945
	0.999000	0.238304
	1.000000	0.271720
	1.001000	0.294430
	1.002000	0.321683
	1.003000	0.354126
	1.004000	0.411226
	1.005000	0.439776
	1.006000	0.412524
	1.007000	0.386245
	1.008000	0.370023
	1.009000	0.339202
	1.010000	0.309030
	1.011000	0.267827
	1.012000	0.223380
	1.013000	0.206185
	1.014000	0.209754
	1.015000	0.215594
	1.016000	0.258094
	1.017000	0.324278
	1.018000	0.381054
	1.019000	0.386569
	1.020000	0.446264
	1.021000	0.406684
	1.022000	0.372618
	1.023000	0.359641
	1.024000	0.289888
	1.025000	0.241873
	1.026000	0.183799
	1.027000	0.168551
	1.028000	0.118589
	1.029000	0.095229
	1.030000	0.089714
	1.031000	0.158818
	1.032000	0.209429
	1.033000	0.242521
	1.034000	0.273018
	1.035000	0.287942
	1.036000	0.310976
	1.037000	0.353477
	1.038000	0.386245
	1.039000	0.387218
	1.040000	0.421608
	1.041000	0.390462
	1.042000	0.340175
	1.043000	0.311625
	1.044000	0.295728
	1.045000	0.243170
	1.046000	0.215918
	1.047000	0.202292
	1.048000	0.148112
	1.049000	0.173418
	1.050000	0.193857
	1.051000	0.221433
	1.052000	0.276262
	1.053000	0.321683
	1.054000	0.329145
	1.055000	0.350557
	1.056000	0.368401
	1.057000	0.375538
	1.058000	0.358019
	1.059000	0.324278
	1.060000	0.307408
	1.061000	0.306110
	1.062000	0.286320
	1.063000	0.324603
	1.064000	0.287293
	1.065000	0.239277
	1.066000	0.248361
	1.067000	0.278209
	1.068000	0.288266
	1.069000	0.283075
	1.070000	0.310003
	1.071000	0.293457
	1.072000	0.299946
	1.073000	0.334336
	1.074000	0.328171
	1.075000	0.299946
	1.076000	0.292808
	1.077000	0.284373
	1.078000	0.264907
	1.079000	0.263934
	1.080000	0.246739
	1.081000	0.220136
	1.082000	0.237331
	1.083000	0.241224
	1.084000	0.288266
	1.085000	0.329469
	1.086000	0.355748
	1.087000	0.451780
	1.088000	0.451780
	1.089000	0.443993
	1.090000	0.447887
	1.091000	0.420634
	1.092000	0.350233
	1.093000	0.296701
	1.094000	0.248037
	1.095000	0.174066
	1.096000	0.158818
	1.097000	0.166929
	1.098000	0.129619
	1.099000	0.177635
	1.100000	0.245117
	1.101000	0.261014
	1.102000	0.297999
	1.103000	0.336282
	1.104000	0.328171
	1.105000	0.305786
	1.106000	0.335633
	1.107000	0.344069
	1.108000	0.310652
	1.109000	0.272369
	1.110000	0.263285
	1.111000	0.269774
	1.112000	0.234735
	1.113000	0.240575
	1.114000	0.248361
	1.115000	0.234086
	1.116000	0.244792
	1.117000	0.278858
	1.118000	0.324278
	1.119000	0.348611
	1.120000	0.376187
	1.121000	0.349908
	1.122000	0.325576
	1.123000	0.370996
	1.124000	0.341473
	1.125000	0.315519
	1.126000	0.359317
	1.127000	0.345042
	1.128000	0.310328
	1.129000	0.280155
	1.130000	0.268152
	1.131000	0.223056
	1.132000	0.205536
	1.133000	0.202941
	1.134000	0.187692
	1.135000	0.199696
	1.136000	0.233762
	1.137000	0.299297
	1.138000	0.356072
	1.139000	0.356721
	1.140000	0.365157
	1.141000	0.350557
	1.142000	0.309679
	1.143000	0.279182
	1.144000	0.289564
	1.145000	0.254850
	1.146000	0.261338
	1.147000	0.230193
	1.148000	0.203265
	1.149000	0.235708
	1.150000	0.267827
	1.151000	0.284373
	1.152000	0.301244
	1.153000	0.329469
	1.154000	0.335958
	1.155000	0.335633
	1.156000	0.335309
	1.157000	0.366779
	1.158000	0.363859
	1.159000	0.356397
	1.160000	0.388191
	1.161000	0.343095
	1.162000	0.269125
	1.163000	0.243495
	1.164000	0.210727
	1.165000	0.180555
	1.166000	0.184773
	1.167000	0.210403
	1.168000	0.225975
	1.169000	0.236357
	1.170000	0.296053
	1.171000	0.308705
	1.172000	0.336607
	1.173000	0.362237
	1.174000	0.361263
	1.175000	0.344069
	1.176000	0.376836
	1.177000	0.341797
	1.178000	0.289240
	1.179000	0.279507
	1.180000	0.303515
	1.181000	0.262312
	1.182000	0.304163
	1.183000	0.304163
	1.184000	0.340500
	1.185000	0.327522
	1.186000	0.296377
	1.187000	0.306759
	1.188000	0.299946
	1.189000	0.262636
	1.190000	0.290862
	1.191000	0.284698
	1.192000	0.235059
	1.193000	0.252579
	1.194000	0.240899
	1.195000	0.218189
	1.196000	0.253552
	1.197000	0.245117
	1.198000	0.225975
	1.199000	0.268476
	1.200000	0.303190
	1.201000	0.292159
	1.202000	0.277236
	1.203000	0.341149
	1.204000	0.357695
	1.205000	0.323305
	1.206000	0.335309
	1.207000	0.318114
	1.208000	0.297350
	1.209000	0.302541
	1.210000	0.279182
	1.211000	0.247712
	1.212000	0.226624
	1.213000	0.217216
	1.214000	0.245441
	1.215000	0.239602
	1.216000	0.272045
	1.217000	0.321034
	1.218000	0.345042
	1.219000	0.338878
	1.220000	0.393058
	1.221000	0.343095
	1.222000	0.359641
	1.223000	0.382027
	1.224000	0.332065
	1.225000	0.270423
	1.226000	0.257445
	1.227000	0.262636
	1.228000	0.227922
	1.229000	0.202292
	1.230000	0.215269
	1.231000	0.188666
	1.232000	0.219811
	1.233000	0.230842
	1.234000	0.290213
	1.235000	0.318438
	1.236000	0.328171
	1.237000	0.372943
	1.238000	0.395653
	1.239000	0.370672
	1.240000	0.424203
	1.241000	0.423879
	1.242000	0.422905
	1.243000	0.357695
